entrez_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
3635,INPP5D,847.7231097,0.624936059,0.117907941,5.300203323,1.16E-07,1.10E-05
1392,CRH,27.83732546,-1.593644263,0.300706645,-5.29966427,1.16E-07,1.10E-05
105377443,LINC02172,23.55564819,1.068852433,0.202306123,5.283341976,1.27E-07,1.17E-05
6909,TBX2,340.0791312,0.732037611,0.138761663,5.275503285,1.32E-07,1.20E-05
150946,GAREM2,1666.198425,0.65223741,0.123664603,5.274244948,1.33E-07,1.20E-05
23218,NBEAL2,583.4434702,0.516069248,0.0978981,5.271494028,1.35E-07,1.21E-05
105372026,LOC105372026,55.37997248,-1.230389816,0.233781156,-5.262998248,1.42E-07,1.26E-05
105373255,NA,37.8308141,0.613114667,0.116805601,5.249017703,1.53E-07,1.34E-05
5071,PRKN,276.7597155,-0.55397307,0.105617909,-5.245067591,1.56E-07,1.36E-05
84793,FOXD2-AS1,27.54609561,0.939656313,0.17947719,5.235519406,1.65E-07,1.42E-05
10923,SUB1,1804.169108,-0.503722205,0.096215509,-5.235353547,1.65E-07,1.42E-05
3798,KIF5A,69443.86211,0.642535992,0.1227599,5.234086946,1.66E-07,1.43E-05
79443,FYCO1,723.5670587,0.516591927,0.098855374,5.225734373,1.73E-07,1.47E-05
55561,CDC42BPG,15.94050538,0.981724192,0.187956931,5.223133758,1.76E-07,1.48E-05
102216342,LINC01108,6.022274899,2.299638147,0.44035045,5.222290901,1.77E-07,1.48E-05
105376224,LOC105376224,7.106288088,0.917361908,0.175734241,5.220165985,1.79E-07,1.49E-05
286530,P2RY8,17.58449533,1.265085364,0.242638411,5.213870952,1.85E-07,1.53E-05
375607,NAT16,28.27734762,-0.802160722,0.154045129,-5.207309896,1.92E-07,1.57E-05
24146,CLDN15,436.4772256,0.690337526,0.132713399,5.20171685,1.97E-07,1.61E-05
3913,LAMB2,1807.675564,0.521200337,0.100216264,5.200755997,1.98E-07,1.61E-05
51256,TBC1D7,137.4326367,-0.529726721,0.101942027,-5.196352626,2.03E-07,1.64E-05
1031,CDKN2C,355.6614308,0.568874227,0.109499718,5.19521179,2.04E-07,1.64E-05
441733,PRKXP1,220.7811938,0.71400684,0.137616174,5.18839334,2.12E-07,1.68E-05
290,ANPEP,135.8345362,0.849827709,0.164590317,5.163291032,2.43E-07,1.87E-05
105373277,LOC105373277,3.972568443,-1.087990597,0.211647829,-5.140570547,2.74E-07,2.07E-05
85407,NKD1,728.4437341,0.56171283,0.109429784,5.133089074,2.85E-07,2.12E-05
8463,TEAD2,247.1171316,0.731301011,0.142642806,5.126799123,2.95E-07,2.18E-05
80762,NDFIP1,5102.778804,-0.528351172,0.103292135,-5.115115223,3.14E-07,2.29E-05
729230,CCR2,7.962393025,1.496792996,0.292790506,5.112163705,3.18E-07,2.31E-05
3784,KCNQ1,110.0180154,0.661996942,0.129707556,5.103765457,3.33E-07,2.40E-05
219855,SLC37A2,118.9731036,0.685694891,0.134368679,5.103085735,3.34E-07,2.40E-05
1244,ABCC2,33.15348425,0.777183535,0.152446618,5.098070027,3.43E-07,2.45E-05
51751,HIGD1B,426.1211712,0.847931028,0.166350136,5.097266816,3.45E-07,2.45E-05
91181,NUP210L,23.60831086,1.009463982,0.198064878,5.096632938,3.46E-07,2.45E-05
7534,YWHAZ,7358.960585,-0.577801882,0.113584957,-5.08695778,3.64E-07,2.57E-05
150771,ITPRIPL1,34.92692482,0.51754317,0.101845896,5.081630074,3.74E-07,2.61E-05
6913,TBX15,47.84294809,0.892004599,0.175559812,5.080915655,3.76E-07,2.61E-05
143162,FRMPD2,153.7866792,-0.76639232,0.151031398,-5.074390675,3.89E-07,2.65E-05
255743,NPNT,171.5559611,0.716255869,0.141251464,5.070785447,3.96E-07,2.68E-05
6404,SELPLG,776.0135113,0.692530905,0.136570324,5.070873982,3.96E-07,2.68E-05
51208,CLDN18,5.381127622,1.123026945,0.221544285,5.069085603,4.00E-07,2.70E-05
9804,TOMM20,4408.348802,-0.534446078,0.105643458,-5.058960461,4.22E-07,2.81E-05
5745,PTH1R,1095.319068,0.759547392,0.150462053,5.048099332,4.46E-07,2.90E-05
107985305,CEACAM16-AS1,12.0455928,1.421188886,0.281612495,5.046611605,4.50E-07,2.90E-05
283385,MORN3,109.1145849,-0.614186136,0.121885238,-5.039052702,4.68E-07,2.99E-05
152789,JAKMIP1,1053.883304,-0.637824868,0.126743018,-5.032426082,4.84E-07,3.07E-05
23594,ORC6,59.89265596,-0.577528681,0.114771021,-5.032007858,4.85E-07,3.07E-05
526,ATP6V1B2,6698.396425,-0.592373168,0.117822796,-5.027661773,4.96E-07,3.13E-05
30846,EHD2,913.6071734,0.537360769,0.106873833,5.0279919,4.96E-07,3.13E-05
101928235,PIK3R5-DT,8.122111364,1.112749471,0.221376936,5.026492326,5.00E-07,3.13E-05
6932,TCF7,75.15614363,0.545934945,0.108695147,5.022624862,5.10E-07,3.18E-05
864,RUNX3,70.6798549,0.824376103,0.16428651,5.017917193,5.22E-07,3.22E-05
102238594,SPACA6-AS1,33.38390651,0.723473427,0.144166795,5.018308336,5.21E-07,3.22E-05
147138,TMC8,401.4837589,0.639971853,0.127600556,5.015431548,5.29E-07,3.24E-05
102524628,RASGRF2-AS1,26.87368723,-0.638925687,0.127511394,-5.010734086,5.42E-07,3.30E-05
2217,FCGRT,1216.506383,0.544047228,0.108611653,5.0091055,5.47E-07,3.31E-05
64900,LPIN3,271.5644764,0.610802199,0.122009242,5.006196179,5.55E-07,3.33E-05
375033,PEAR1,303.2359175,0.882808746,0.176693481,4.996272307,5.84E-07,3.45E-05
5179,PENK,28.19119527,-1.249471651,0.250268711,-4.992520414,5.96E-07,3.50E-05
114036,LINC00310,14.24112336,0.944231909,0.189152462,4.991909174,5.98E-07,3.50E-05
3693,ITGB5,1287.536169,0.502670982,0.100721747,4.990689653,6.02E-07,3.50E-05
220202,ATOH7,45.3651542,-0.937627559,0.188006173,-4.987216887,6.13E-07,3.54E-05
257364,SNX33,824.8999982,0.533521583,0.107219361,4.975981724,6.49E-07,3.72E-05
201229,LYRM9,868.5702803,-0.646599244,0.129954688,-4.975574613,6.51E-07,3.72E-05
105375216,LOC105375216,31.58310092,-0.582484043,0.117108347,-4.973890077,6.56E-07,3.73E-05
